Time 5.42s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.42s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.27s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.47s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.43s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.43s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.4s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 6.68s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 7.14s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.52s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.36s, nodes: 2, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 7.99s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 7.95s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 7.96s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 8.42s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 8.02s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 8.06s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 8.05s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 8.01s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 8.14s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
